Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;1;Teoria da Informação e Tipos de Dados - parte 01;01:19:46
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;2;Teoria da Informação e Tipos de Dados - parte 02;35:59
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;3;Teoria da Informação e Tipos de Dados - parte 03;38:11
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;4;Conceitos Básicos de Bancos de Dados - Parte 1;28:28
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;5;Conceitos Básicos de Bancos de Dados - Parte 2;30:27
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;6;Conceitos Básicos de Bancos de Dados - Parte 3;14:36
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;7;Conceitos Básicos de Bancos de Dados - Parte 4;25:13
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;8;Conceitos Básicos de Bancos de Dados - Parte 5;11:56
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;9;Arquitetura ANSI/SPARC - Três Esquemas 1;29:06
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;10;Arquitetura ANSI/SPARC - Três Esquemas 2;24:02
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;11;Questões ANSI/SPARC;11:12
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;12;Projeto de Banco de Dados;22:25
Aula 00 - Prof. Felipe Mathias e Emannuelle Gouveia;Teoria da Informação e Banco de Dados;13;Questões - Projeto de Banco de Dados;08:58
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;1;Banco de Dados Relacionais - Modelo Conceitual;32:02
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;2;Banco de Dados Relacionais - Modelo Entidade-relacionamento - Parte 01;31:31
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;3;Banco de Dados Relacionais - Modelo Entidade-relacionamento - Parte 02;29:21
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;4;Banco de Dados Relacionais - Modelo Entidade-relacionamento - Parte 03;31:26
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;5;Banco de Dados Relacionais - Modelo Entidade-relacionamento Questões;13:33
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;6;Modelo Relacional - Parte 1;01:20:27
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;7;Modelo Relacional - Parte 2;01:04:12
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;8;Modelo Relacional - Parte 3;01:29:41
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;9;Modelo Relacional - Parte 4;17:06
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;10;Modelo Relacional - Parte 5;45:37
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;11;Regras de Codd;01:28:28
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;12;Normalização - Parte 01;27:48
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;13;Normalização - Parte 02;28:25
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;14;Normalização - Parte 03;28:23
Aula 01 - Prof. Felipe Mathias e Emannuelle Gouveia;Modelo Relacional, Normalização, MER, Tratamento de Valores Nulos;15;Normalização - Parte 04;14:09
