Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 00;Lógica de programação;1;Esse curso é para você?;22:46
Aula 00;Lógica de programação;2;Lógica de Programação - Introdução;18:00
Aula 00;Lógica de programação;3;Definição;24:49
Aula 00;Lógica de programação;4;Variáveis - Parte 01;22:38
Aula 00;Lógica de programação;5;Variáveis - Parte 02;35:28
Aula 00;Lógica de programação;6;Estruturas Condicionais - Parte 01;02:03
Aula 00;Lógica de programação;7;Estruturas Condicionais - Parte 02;06:02
Aula 00;Lógica de programação;8;Funções;22:03
Aula 00;Lógica de programação;9;Strings;07:21
Aula 00;Lógica de programação;10;Estruturas;11:26
Aula 00;Lógica de programação;11;Para onde ir?;02:04
Aula 00;Lógica de programação;12;Code Challengers;08:31
Aula 00;Lógica de programação;13;Questões CESPE/CEBRASPE;41:51
Aula 00;Lógica de programação;14;Revisão - Lógica de Programação;19:10
Aula 01;Estrutura de dados;1;Estrutura de Dados - Esse curso é pra você?;11:02
Aula 01;Estrutura de dados;2;List, Set e Map - parte 1;11:36
Aula 01;Estrutura de dados;3;List, Set e Map - parte 2;23:49
Aula 01;Estrutura de dados;4;Pilha/fila;51:36
Aula 01;Estrutura de dados;5;Árvore;51:36
Aula 01;Estrutura de dados;6;Como Percorrer;16:36
Aula 01;Estrutura de dados;7;Questão + Árvore Cheia;16:41
Aula 01;Estrutura de dados;8;Pesquisas Binárias e Sequenciais;24:19
Aula 01;Estrutura de dados;9;Hands On;15:02
Aula 01;Estrutura de dados;10;Revisão - Estrutura de dados;28:43
Aula 01;Estrutura de dados;11;Questões;55:51
Aula 01;Estrutura de dados;12;Estrutura de Dados e Ordenação - Parte 01;43:57
Aula 01;Estrutura de dados;13;Estrutura de Dados e Ordenação - Parte 02;42:54
Aula 01;Estrutura de dados;14;Estrutura de Dados e Ordenação - Parte 03;28:13
Aula 01;Estrutura de dados;15;Estrutura de Dados e Ordenação - Parte 04;46:00
Aula 01;Estrutura de dados;16;Revisão de Estrutura de Dados e Arquivos;10:14
Aula 02;Algoritmos;1;Algoritimos de Ordenação - Introdução;10:20
Aula 02;Algoritmos;2;Bubble Sort;14:33
Aula 02;Algoritmos;3;Selection Sort;08:04
Aula 02;Algoritmos;4;Insertion Sort;04:39
Aula 02;Algoritmos;5;Shell Sort;06:06
Aula 02;Algoritmos;6;Quick Sort;10:57
Aula 02;Algoritmos;7;Merge Sort;05:38
Aula 02;Algoritmos;8;Heap Sort;10:39
Aula 02;Algoritmos;9;Hands On;37:28
Aula 02;Algoritmos;10;Algoritimos de Ordenação - Bateria de questões;39:01
Aula 03;".NET; C#; ASP; NHIBERNATE; ENTITY";1;;26:45
Aula 03;".NET; C#; ASP; NHIBERNATE; ENTITY";2;;21:44
