Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;1;Regime Jurídico-Administrativo Noções Gerais - Parte 01;27:45
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;2;Regime Jurídico-Administrativo Noções Gerais - Parte 02;22:11
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;3;Princípios Expressos - Parte 01;34:30
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;4;Princípios Expressos - Parte 02;40:45
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;5;Princípios Implícitos - Parte 01;26:59
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;6;Princípios Implícitos - Parte 02;41:56
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;7;Outros Princípios Implícitos;25:39
Aula 00;Regime jurídico-administrativo. Princípios expressos e implícitos da administração pública.;8;Resumo de Regime Jurídico-administrativo;32:03
Aula 01;Estado, governo e administração pública. Direito administrativo.;1;Conceito de Direito Administrativo;43:14
Aula 01;Estado, governo e administração pública. Direito administrativo.;2;Objeto do Direito Administrativo e Função Administrativa;25:07
Aula 01;Estado, governo e administração pública. Direito administrativo.;3;Critérios para conceituar o Direito Administrativo;44:33
Aula 01;Estado, governo e administração pública. Direito administrativo.;4;Fontes do Direito Administrativo;43:58
Aula 01;Estado, governo e administração pública. Direito administrativo.;5;Sistemas Administrativos;16:42
Aula 01;Estado, governo e administração pública. Direito administrativo.;6;Transformação e Inspiração do Direito Administrativo;36:40
Aula 01;Estado, governo e administração pública. Direito administrativo.;7;Estado;28:12
Aula 01;Estado, governo e administração pública. Direito administrativo.;8;Poderes do Estado;13:22
Aula 01;Estado, governo e administração pública. Direito administrativo.;9;Governo;21:13
Aula 01;Estado, governo e administração pública. Direito administrativo.;10;Administração Pública;25:20
Aula 01;Estado, governo e administração pública. Direito administrativo.;11;Resumo de Introdução ao Direito Administrativo;34:54
Aula 02;Organização administrativa. Centralização, descentralização, concentração e desconcentração. Administração direta e indireta. Autarquias;1;Organização Administrativa - Noções Gerais;25:50
Aula 02;Organização administrativa. Centralização, descentralização, concentração e desconcentração. Administração direta e indireta. Autarquias;2;Descentralização e Desconcentração - Parte 01;39:40
Aula 02;Organização administrativa. Centralização, descentralização, concentração e desconcentração. Administração direta e indireta. Autarquias;3;Descentralização e Desconcentração - Parte 02;29:29
Aula 02;Organização administrativa. Centralização, descentralização, concentração e desconcentração. Administração direta e indireta. Autarquias;4;Órgãos Públicos - Características;26:22
Aula 02;Organização administrativa. Centralização, descentralização, concentração e desconcentração. Administração direta e indireta. Autarquias;5;Órgãos Públicos - Classificação;36:23
