Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;1;Metodologias de Desenvolvimento - Engenharia de Software e Objetivos;22:45
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;2;Metodologias de Desenvolvimento - Histórico e Terminologia;15:27
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;3;Metodologias de Desenvolvimento - Modelos de Ciclo de Vida e Fases do Desenvolvimento de Software;15:21
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;4;Metodologias de Desenvolvimento - Modelo em Cascata;21:50
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;5;Metodologias de Desenvolvimento - Modelos Interativos;12:52
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;6;Metodologias de Desenvolvimento - Modelo RAD;12:26
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;7;Questões - Modelos de Ciclos de Vida - Parte 01;27:29
Aula 00;Engenharia de Software. Conceitos Básicos ou Gerais. Ciclo de vida do software. Modelos, Metodologias ou Processos de Desenvolvimento de Software: Modelo em Cascata.;8;Questões - Modelos de Ciclos de Vida - Parte 02;24:06
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;1;Metodologias de Desenvolvimento - Modelo de Prototipagem;12:07
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;2;Metodologias de Desenvolvimento - Modelo em Espiral;16:31
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;3;Metodologias de Desenvolvimento - Modelo Baseado em Componentes;10:02
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;4;Metodologias de Desenvolvimento - Métodos Formais;06:50
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;5;Metodologias de Desenvolvimento - Modelo Orientado a Aspectos;10:22
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;6;Questões - Modelos de Ciclos de Vida - Parte 03;27:24
Aula 01;Modelo Orientado a Reuso. Modelo em Prototipagem, Modelo Evolucionário, Modelo Espiral, Modelo Formal, RAD, Modelo Iterativo e Incremental.;7;Questões - Modelos de Ciclos de Vida - Parte 04;24:05
