Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 01;IN 01 2019;1;IN01/2019 - Visão Geral Básica Sobre Licitações e Contratos - Parte 01;27:25
Aula 01;IN 01 2019;2;IN01/2019 - Visão Geral Básica Sobre Licitações e Contratos - Parte 02;22:06
Aula 01;IN 01 2019;3;IN01/2019 - Instrução Normativa SGD/ME Nº 1/2019;23:16
Aula 01;IN 01 2019;4;IN01/2019 - Disposições Gerais e Definição de Termos (Art. 2º);26:35
Aula 01;IN 01 2019;5;IN01/2019 - Vedações (Arts. 3º a 5º);32:00
Aula 01;IN 01 2019;6;IN01/2019 - Processo de Contratação de Soluções de TI (Visão Geral);11:46
Aula 01;IN 01 2019;7;IN01/2019 - Programação Estratégica (Arts. 6º e 7º);17:48
Aula 01;IN 01 2019;8;IN01/2019 - Planejamento da Contratação (Visão Geral);24:16
Aula 01;IN 01 2019;9;IN01/2019 - Equipe de Planejamento da Contratação;10:02
Aula 01;IN 01 2019;10;IN01/2019 - Estudo Técnico Preliminar;28:00
Aula 01;IN 01 2019;11;IN01/2019 - Planejamento da Contratação;28:50
Aula 01;IN 01 2019;12;IN01/2019 - TR-PB - Diretrizes Gerais;25:10
Aula 01;IN 01 2019;13;IN01/2019 - TR-PB Conteúdo;29:54
Aula 01;IN 01 2019;14;IN01/2019 - TR-PB Controle da SGD;06:16
Aula 01;IN 01 2019;15;IN01/2019 - Seleção do Fornecedor;19:14
Aula 01;IN 01 2019;16;IN01/2019 - Gestão de Contrato;26:05
Aula 01;IN 01 2019;17;IN01/2019 - Transparência Ativa;08:00
Aula 01;IN 01 2019;18;IN01/2019 - Gerenciamento de Riscos;05:44
Aula 01;IN 01 2019;19;IN01/2019 - Anexo I - Contratação de Licenciamento de Sofware e Serviços Agregados;16:52
Aula 01;IN 01 2019;20;IN01/2019 - Anexo II - Contratação de Solução de Autenticação para Serviços Públicos Digitais;03:36
Aula 01;IN 01 2019;21;IN01/2019 - Anexo III - Contratação de Serviços de Desenvolvimento, Sustentação e Manutenção de Software;05:23
Aula 01;IN 01 2019;22;IN01/2019 - Contratação de Infra;09:16
Aula 02;LGPD;1;LGPD - Parte 01;25:52
Aula 02;LGPD;2;LGPD - Parte 02;26:55
Aula 02;LGPD;3;LGPD - Parte 03;16:38
Aula 02;LGPD;4;LGPD - Parte 04;09:26
Aula 02;LGPD;5;LGPD - Parte 05;07:56
Aula 02;LGPD;6;LGPD - Parte 06;27:38
Aula 02;LGPD;7;LGPD - Parte 07;13:48
Aula 02;LGPD;8;LGPD - Parte 08;26:01
Aula 02;LGPD;9;LGPD - Parte 09;22:11
Aula 02;LGPD;10;LGPD - Parte 10;14:26
Aula 02;LGPD;11;LGPD - Parte 11;07:03
Aula 02;LGPD;12;LGPD - Parte 12;12:23
Aula 02;LGPD;13;LGPD - Parte 13;08:45
Aula 02;LGPD;14;LGPD - Parte 14;07:58
Aula 02;LGPD;15;LGPD - Parte 15;12:40
Aula 02;LGPD;16;Lei Geral de Proteção de Dados - LGPD - Atualizações da Lei nº 14.460, de 25 de outubro de 2022;07:40
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);1;Lei de Acesso à Informação - Conceitos e Aplicações;18:50
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);2;Lei de Acesso à Informação - Disposições Gerais;28:26
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);3;Lei de Acesso à Informação - Do Acesso a Informação;42:43
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);4;Lei de Acesso à Informação - Do Procedimento de Acesso;38:02
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);5;Lei de Acesso à Informação - Das Restrições de Acesso;36:56
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);6;Lei de Acesso à Informação - Das Informações Pessoais.;24:40
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);7;Lei de Acesso à Informação - Das Responsabilidades.;38:18
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);8;Lei de Acesso à Informação - Prazos e Mapas Mentais;26:35
Aula 03 - Prof. Thiago Cavalcanti;LAI (Lei de acesso a informação);9;Lei de Acesso à Informação - Questões;01:00:53
