Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 01;PMBOK 6 (Project Management Body of Knowledge);1;PMBOK - Aula I - Conceitos Básicos;32:57
Aula 01;PMBOK 6 (Project Management Body of Knowledge);2;PMBOK - Aula I - Gerenciamento de Projetos;11:36
Aula 01;PMBOK 6 (Project Management Body of Knowledge);3;PMBOK - Aula I - Gerenciamento Organizacional do Projeto;12:14
Aula 01;PMBOK 6 (Project Management Body of Knowledge);4;PMBOK - Aula I - Escritório de Projetos (PMO/EGP);10:53
Aula 01;PMBOK 6 (Project Management Body of Knowledge);5;PMBOK - Aula I - Papel do Gerente de Projetos;12:49
Aula 01;PMBOK 6 (Project Management Body of Knowledge);6;PMBOK - Aula I - Estruturas Organizacionais;14:24
Aula 01;PMBOK 6 (Project Management Body of Knowledge);7;PMBOK - Aula I - Partes Interessadas (Stakeholders);04:35
Aula 01;PMBOK 6 (Project Management Body of Knowledge);8;PMBOK - Aula I - Equipe do Projeto;08:30
Aula 01;PMBOK 6 (Project Management Body of Knowledge);9;PMBOK - Aula I - Ciclo de Vida do Projeto;22:43
Aula 01;PMBOK 6 (Project Management Body of Knowledge);10;PMBOK 6 - Aula I - Processos de Gerenciamento de Projetos;13:26
Aula 01;PMBOK 6 (Project Management Body of Knowledge);11;PMBOK 6 - Aula I - Áreas de Conhecimento;10:39
Aula 01;PMBOK 6 (Project Management Body of Knowledge);12;PMBOK 6 - Aula II - Integração, Escopo e Cronograma;10:34
Aula 01;PMBOK 6 (Project Management Body of Knowledge);13;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 1;08:52
Aula 01;PMBOK 6 (Project Management Body of Knowledge);14;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 2;07:41
Aula 01;PMBOK 6 (Project Management Body of Knowledge);15;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 3;08:20
Aula 01;PMBOK 6 (Project Management Body of Knowledge);16;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 4;05:35
Aula 01;PMBOK 6 (Project Management Body of Knowledge);17;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 5;11:27
Aula 01;PMBOK 6 (Project Management Body of Knowledge);18;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 6;09:11
Aula 01;PMBOK 6 (Project Management Body of Knowledge);19;PMBOK 6 - Aula II - Gerenciamento de Integração - Parte 7;05:33
