Aula;Subtítulo;Vídeo;Videoaula;Duração
Aula 00;Ortografia oficial. Acentuação gráfica.;1;Fonética / Fonologia - Parte 01;16:13
Aula 00;Ortografia oficial. Acentuação gráfica.;2;Fonética / Fonologia - Parte 02;21:36
Aula 00;Ortografia oficial. Acentuação gráfica.;3;Estudo da Sílaba - Parte 01;43:02
Aula 00;Ortografia oficial. Acentuação gráfica.;4;Estudo da Sílaba - Parte 02;16:54
Aula 00;Ortografia oficial. Acentuação gráfica.;5;Estudo da Sílaba - Parte 03;35:33
Aula 00;Ortografia oficial. Acentuação gráfica.;6;Estudo da Sílaba - Parte 04;18:00
Aula 00;Ortografia oficial. Acentuação gráfica.;7;Estudo da Sílaba - Parte 05;46:03
Aula 00;Ortografia oficial. Acentuação gráfica.;8;Estudo da Sílaba - Questões de Concurso - Parte 01;28:08
Aula 00;Ortografia oficial. Acentuação gráfica.;9;Estudo da Sílaba - Questões de Concurso - Parte 02;20:32
Aula 00;Ortografia oficial. Acentuação gráfica.;10;Estudo da Sílaba - Questões de Concurso - Parte 03;09:07
Aula 00;Ortografia oficial. Acentuação gráfica.;11;Acentuação gráfica - Parte 01;25:56
Aula 00;Ortografia oficial. Acentuação gráfica.;12;Acentuação gráfica - Parte 02;21:38
Aula 00;Ortografia oficial. Acentuação gráfica.;13;Acentuação gráfica - Questões de concurso - Parte 01;31:55
Aula 00;Ortografia oficial. Acentuação gráfica.;14;Acentuação gráfica - Questões de concurso - Parte 02;20:44
Aula 00;Ortografia oficial. Acentuação gráfica.;15;Casos Especiais - Acentuação gráfica;33:45
Aula 00;Ortografia oficial. Acentuação gráfica.;16;Palavras que perderam o acento - Exercícios de Fixação;24:07
Aula 00;Ortografia oficial. Acentuação gráfica.;17;Acentuação gráfica - Questões de concurso - Parte 03;39:56
Aula 00;Ortografia oficial. Acentuação gráfica.;18;Acentuação gráfica - Questões de concurso - Parte 04;20:50
Aula 00;Ortografia oficial. Acentuação gráfica.;19;Ortografia - Emprego de Hífen (Em cinco regras) - Parte 01;21:55
